code;land;population
08;Baden-Württemberg;10569111
09;Bayern;12519571
11;Berlin;3375222
12;Brandenburg;2449511
04;Bremen;654774
02;Hamburg;1734272
06;Hessen;6016481
13;Mecklenburg-Vorpommern;1600327
03;Niedersachsen;7778995
05;Nordrhein-Westfalen;17554329
07;Rheinland-Pfalz;3990278
10;Saarland;994287
14;Sachsen;4050204
15;Sachsen-Anhalt;2259393
01;Schleswig-Holstein;2806531
16;Thüringen;2170460
